radiant_win,dire_team,radiant_team,duration,avg_mmr
False,"[9, 14, 60, 31, 72]","[71, 81, 26, 28, 35]",2427,4280
False,"[15, 46, 63, 33, 35]","[74, 50, 62, 6, 86]",1946,5151
False,"[31, 46, 14, 71, 85]","[137, 2, 95, 91, 40]",1493,1946
False,"[101, 25, 40, 44, 32]","[62, 119, 53, 4, 2]",2290,3641
False,"[72, 137, 62, 11, 40]","[104, 119, 76, 44, 50]",1814,3271
True,"[97, 62, 93, 136, 57]","[53, 71, 120, 60, 84]",1785,1990
True,"[97, 46, 41, 68, 9]","[7, 8, 27, 101, 82]",1580,1830
True,"[35, 2, 26, 22, 91]","[44, 64, 88, 62, 96]",2679,2344
False,"[35, 85, 50, 2, 83]","[93, 5, 138, 81, 84]",2805,3328
False,"[31, 82, 93, 36, 87]","[58, 100, 94, 12, 48]",2667,4923
True,"[99, 44, 20, 71, 53]","[51, 85, 101, 89, 137]",2484,3761
False,"[109, 59, 30, 68, 36]","[45, 94, 88, 64, 15]",2102,3670
True,"[41, 120, 42, 58, 22]","[6, 45, 17, 56, 71]",2883,2780
True,"[26, 66, 31, 6, 7]","[30, 96, 110, 11, 81]",2247,3021
True,"[55, 11, 45, 119, 106]","[44, 64, 67, 97, 22]",2483,2557
True,"[108, 99, 10, 68, 138]","[135, 30, 6, 21, 22]",2358,4230
False,"[12, 43, 108, 9, 3]","[28, 59, 93, 91, 30]",2246,2361
False,"[16, 95, 64, 75, 105]","[6, 11, 69, 14, 30]",3000,1724
True,"[44, 51, 90, 86, 64]","[48, 2, 5, 123, 22]",4558,2676
False,"[104, 57, 53, 89, 64]","[87, 71, 14, 42, 84]",2332,4162
False,"[119, 42, 110, 71, 56]","[77, 14, 20, 93, 106]",2181,2308
False,"[137, 63, 11, 57, 54]","[64, 83, 35, 39, 55]",2369,3476
False,"[56, 68, 44, 71, 101]","[25, 104, 94, 30, 33]",4249,3340
True,"[63, 6, 62, 20, 2]","[68, 105, 99, 14, 26]",2492,3123
False,"[54, 36, 135, 56, 111]","[44, 110, 23, 14, 64]",3041,1759
True,"[63, 21, 2, 138, 70]","[99, 35, 12, 111, 56]",2476,4822
False,"[105, 62, 23, 32, 71]","[123, 41, 111, 99, 96]",2081,1485
True,"[30, 39, 8, 85, 96]","[19, 42, 37, 35, 14]",1793,2609
False,"[39, 18, 30, 40, 96]","[137, 26, 14, 57, 6]",2516,2956
False,"[86, 63, 99, 76, 110]","[129, 56, 14, 70, 136]",2401,2357
True,"[31, 15, 26, 2, 14]","[104, 93, 22, 11, 5]",3010,2806
False,"[23, 42, 9, 14, 81]","[26, 35, 17, 108, 54]",1699,2993
False,"[26, 96, 112, 36, 42]","[104, 9, 121, 5, 93]",2073,2540
False,"[19, 31, 41, 13, 84]","[93, 5, 33, 101, 14]",3563,3487
True,"[121, 7, 39, 101, 12]","[20, 36, 99, 58, 67]",3854,2129
False,"[44, 5, 67, 22, 95]","[35, 26, 16, 58, 70]",2049,3809
True,"[39, 85, 44, 74, 120]","[54, 136, 13, 58, 119]",2496,1903
True,"[104, 111, 70, 35, 87]","[84, 46, 23, 5, 67]",2601,3111
True,"[76, 105, 16, 12, 37]","[22, 71, 23, 44, 26]",3331,2775
False,"[136, 106, 44, 5, 84]","[101, 75, 67, 26, 104]",2131,2546
False,"[137, 101, 83, 18, 74]","[13, 62, 66, 135, 46]",2095,3891
True,"[63, 137, 105, 87, 81]","[42, 30, 2, 27, 11]",1720,2927
False,"[26, 86, 67, 11, 28]","[44, 83, 73, 53, 23]",2954,3564
True,"[100, 79, 7, 126, 11]","[53, 10, 138, 71, 20]",1942,4129
False,"[81, 74, 58, 71, 60]","[13, 99, 18, 40, 105]",2134,3510
False,"[50, 18, 99, 14, 75]","[108, 64, 5, 54, 35]",2374,2773
True,"[21, 67, 52, 71, 13]","[27, 30, 48, 23, 81]",1535,3921
